photo_id,sol,camera_id,camera_name,camera_full_name,img_src,earth_date,rover_id,rover_name,rover_landing_date,rover_launch_date,rover_status
1310150,1466,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01466/ids/edr/browse/ncam/NLF_1466_0797079015_987ECM_N0710160NCAM00501_01_295J01_1200.jpg,2025-04-04,8,Perseverance,2021-02-18,2020-07-30,active
1310151,1466,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01466/ids/edr/browse/ncam/NLF_1466_0797079154_038ECM_N0710160NCAM00501_01_295J01_1200.jpg,2025-04-04,8,Perseverance,2021-02-18,2020-07-30,active
1310152,1466,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01466/ids/edr/browse/ncam/NLF_1466_0797079216_991ECM_N0710160NCAM00501_01_295J01_1200.jpg,2025-04-04,8,Perseverance,2021-02-18,2020-07-30,active
1310153,1466,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01466/ids/edr/browse/ncam/NLG_1466_0797079551_050ECM_N0710160NCAM00500_00_2I4J01_1200.jpg,2025-04-04,8,Perseverance,2021-02-18,2020-07-30,active
1310154,1466,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01466/ids/edr/browse/ncam/NLG_1466_0797079582_066ECM_N0710160NCAM00500_00_2I4J01_1200.jpg,2025-04-04,8,Perseverance,2021-02-18,2020-07-30,active
1310169,1466,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01466/ids/edr/browse/ncam/NLF_1466_0797079079_020ECM_N0710160NCAM00501_01_295J01_1200.jpg,2025-04-04,8,Perseverance,2021-02-18,2020-07-30,active
1310170,1466,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01466/ids/edr/browse/ncam/NLF_1466_0797079300_995ECM_N0710160NCAM00501_01_295J01_1200.jpg,2025-04-04,8,Perseverance,2021-02-18,2020-07-30,active
1310171,1466,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01466/ids/edr/browse/ncam/NLG_1466_0797079399_934ECM_N0710160NCAM00500_00_2I4J01_1200.jpg,2025-04-04,8,Perseverance,2021-02-18,2020-07-30,active
1310172,1466,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01466/ids/edr/browse/ncam/NLG_1466_0797079404_112ECM_N0710160NCAM00500_00_2I4J01_1200.jpg,2025-04-04,8,Perseverance,2021-02-18,2020-07-30,active
1310173,1466,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01466/ids/edr/browse/ncam/NLG_1466_0797079408_130ECM_N0710160NCAM00500_00_2I4J01_1200.jpg,2025-04-04,8,Perseverance,2021-02-18,2020-07-30,active
