photo_id,sol,camera_id,camera_name,camera_full_name,img_src,earth_date,rover_id,rover_name,rover_landing_date,rover_launch_date,rover_status
1314369,1486,40,MCZ_RIGHT,Mast Camera Zoom - Right,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01486/ids/edr/browse/zcam/ZR7_1486_0798868623_410EBY_N0730000ZCAM01069_1100LMJ01_1200.jpg,2025-04-24,8,Perseverance,2021-02-18,2020-07-30,active
1314370,1486,40,MCZ_RIGHT,Mast Camera Zoom - Right,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01486/ids/edr/browse/zcam/ZR7_1486_0798859512_206EBY_N0730000ZCAM01002_1100LMJ01_1200.jpg,2025-04-24,8,Perseverance,2021-02-18,2020-07-30,active
1314371,1486,40,MCZ_RIGHT,Mast Camera Zoom - Right,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01486/ids/edr/browse/zcam/ZR7_1486_0798859385_206EBY_N0730000ZCAM01002_1100LMJ01_1200.jpg,2025-04-24,8,Perseverance,2021-02-18,2020-07-30,active
1314372,1486,40,MCZ_RIGHT,Mast Camera Zoom - Right,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01486/ids/edr/browse/zcam/ZR7_1486_0798850710_331EBY_N0730000ZCAM01002_1100LMJ01_1200.jpg,2025-04-24,8,Perseverance,2021-02-18,2020-07-30,active
1314374,1486,40,MCZ_RIGHT,Mast Camera Zoom - Right,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01486/ids/edr/browse/zcam/ZR7_1486_0798868623_410ECM_N0730000ZCAM01069_1100LMJ01_1200.jpg,2025-04-24,8,Perseverance,2021-02-18,2020-07-30,active
1314375,1486,40,MCZ_RIGHT,Mast Camera Zoom - Right,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01486/ids/edr/browse/zcam/ZR7_1486_0798850520_318EBY_N0730000ZCAM01002_1100LMJ01_1200.jpg,2025-04-24,8,Perseverance,2021-02-18,2020-07-30,active
1314377,1486,40,MCZ_RIGHT,Mast Camera Zoom - Right,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01486/ids/edr/browse/zcam/ZR7_1486_0798868740_409EBY_N0730000ZCAM01069_1100LMJ01_1200.jpg,2025-04-24,8,Perseverance,2021-02-18,2020-07-30,active
1314381,1486,40,MCZ_RIGHT,Mast Camera Zoom - Right,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01486/ids/edr/browse/zcam/ZR7_1486_0798868740_409ECM_N0730000ZCAM01069_1100LMJ01_1200.jpg,2025-04-24,8,Perseverance,2021-02-18,2020-07-30,active
1314385,1486,40,MCZ_RIGHT,Mast Camera Zoom - Right,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01486/ids/edr/browse/zcam/ZR7_1486_0798859512_206ECM_N0730000ZCAM01002_1100LMJ01_1200.jpg,2025-04-24,8,Perseverance,2021-02-18,2020-07-30,active
1314387,1486,40,MCZ_RIGHT,Mast Camera Zoom - Right,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01486/ids/edr/browse/zcam/ZR7_1486_0798859385_206ECM_N0730000ZCAM01002_1100LMJ01_1200.jpg,2025-04-24,8,Perseverance,2021-02-18,2020-07-30,active
