photo_id,sol,camera_id,camera_name,camera_full_name,img_src,earth_date,rover_id,rover_name,rover_landing_date,rover_launch_date,rover_status
1311080,1470,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01470/ids/edr/browse/ncam/NLM_1470_0797437463_198ECM_N0711018NCAM00230_01_2LLJ01_1200.jpg,2025-04-08,8,Perseverance,2021-02-18,2020-07-30,active
1311081,1470,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01470/ids/edr/browse/ncam/NLM_1470_0797437471_941ECM_N0711018NCAM00230_00_2LLJ01_1200.jpg,2025-04-08,8,Perseverance,2021-02-18,2020-07-30,active
1311082,1470,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01470/ids/edr/browse/ncam/NLM_1470_0797437476_941ECM_N0711018NCAM00230_00_2LLJ01_1200.jpg,2025-04-08,8,Perseverance,2021-02-18,2020-07-30,active
1311083,1470,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01470/ids/edr/browse/ncam/NLM_1470_0797437481_941ECM_N0711018NCAM00230_00_2LLJ01_1200.jpg,2025-04-08,8,Perseverance,2021-02-18,2020-07-30,active
1311084,1470,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01470/ids/edr/browse/ncam/NLM_1470_0797437486_941ECM_N0711018NCAM00230_00_2LLJ01_1200.jpg,2025-04-08,8,Perseverance,2021-02-18,2020-07-30,active
1311092,1470,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01470/ids/edr/browse/ncam/NLF_1470_0797460136_066ECM_N0711018NCAM00266_10_195J01_1200.jpg,2025-04-08,8,Perseverance,2021-02-18,2020-07-30,active
1311093,1470,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01470/ids/edr/browse/ncam/NLF_1470_0797460310_066ECM_N0711018NCAM00266_04_195J01_1200.jpg,2025-04-08,8,Perseverance,2021-02-18,2020-07-30,active
1311094,1470,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01470/ids/edr/browse/ncam/NLF_1470_0797460310_066ECM_N0711018NCAM00266_07_195J01_1200.jpg,2025-04-08,8,Perseverance,2021-02-18,2020-07-30,active
1311095,1470,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01470/ids/edr/browse/ncam/NLF_1470_0797460453_066ECM_N0711018NCAM00266_04_195J01_1200.jpg,2025-04-08,8,Perseverance,2021-02-18,2020-07-30,active
1311096,1470,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01470/ids/edr/browse/ncam/NLF_1470_0797460453_066ECM_N0711018NCAM00266_07_195J01_1200.jpg,2025-04-08,8,Perseverance,2021-02-18,2020-07-30,active
