photo_id,sol,camera_id,camera_name,camera_full_name,img_src,earth_date,rover_id,rover_name,rover_landing_date,rover_launch_date,rover_status
1312072,1473,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01473/ids/edr/browse/ncam/NLF_1473_0797711937_972ECM_N0720000NCAM00501_01_295J01_1200.jpg,2025-04-11,8,Perseverance,2021-02-18,2020-07-30,active
1312073,1473,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01473/ids/edr/browse/ncam/NLF_1473_0797712083_972ECM_N0720000NCAM00501_01_295J01_1200.jpg,2025-04-11,8,Perseverance,2021-02-18,2020-07-30,active
1312074,1473,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01473/ids/edr/browse/ncam/NLF_1473_0797712151_026ECM_N0720000NCAM00501_01_295J01_1200.jpg,2025-04-11,8,Perseverance,2021-02-18,2020-07-30,active
1312075,1473,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01473/ids/edr/browse/ncam/NLF_1473_0797712235_034ECM_N0720000NCAM00501_01_295J01_1200.jpg,2025-04-11,8,Perseverance,2021-02-18,2020-07-30,active
1312076,1473,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01473/ids/edr/browse/ncam/NLG_1473_0797712326_987ECM_N0720000NCAM00500_00_2I4J01_1200.jpg,2025-04-11,8,Perseverance,2021-02-18,2020-07-30,active
1312077,1473,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01473/ids/edr/browse/ncam/NLG_1473_0797712335_112ECM_N0720000NCAM00500_00_2I4J01_1200.jpg,2025-04-11,8,Perseverance,2021-02-18,2020-07-30,active
1312078,1473,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01473/ids/edr/browse/ncam/NLG_1473_0797712374_020ECM_N0720000NCAM00500_00_2I4J01_1200.jpg,2025-04-11,8,Perseverance,2021-02-18,2020-07-30,active
1312079,1473,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01473/ids/edr/browse/ncam/NLG_1473_0797712378_050ECM_N0720000NCAM00500_00_2I4J01_1200.jpg,2025-04-11,8,Perseverance,2021-02-18,2020-07-30,active
1312084,1473,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01473/ids/edr/browse/ncam/NLF_1473_0797694231_287EBY_N0720000SCAM01473_00_0LLJ01_1200.jpg,2025-04-11,8,Perseverance,2021-02-18,2020-07-30,active
1312085,1473,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01473/ids/edr/browse/ncam/NLG_1473_0797712446_102ECM_N0720000NCAM00500_00_2I4J01_1200.jpg,2025-04-11,8,Perseverance,2021-02-18,2020-07-30,active
