photo_id,sol,camera_id,camera_name,camera_full_name,img_src,earth_date,rover_id,rover_name,rover_landing_date,rover_launch_date,rover_status
1310396,1468,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01468/ids/edr/browse/ncam/NLF_1468_0797259366_770ECM_N0710696NCAM03468_01_195J01_1200.jpg,2025-04-06,8,Perseverance,2021-02-18,2020-07-30,active
1310413,1468,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01468/ids/edr/browse/ncam/NLG_1468_0797250313_880ECM_N0710160NCAM00500_00_2I4J01_1200.jpg,2025-04-06,8,Perseverance,2021-02-18,2020-07-30,active
1310414,1468,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01468/ids/edr/browse/ncam/NLG_1468_0797250382_941ECM_N0710160NCAM00500_00_2I4J01_1200.jpg,2025-04-06,8,Perseverance,2021-02-18,2020-07-30,active
1310415,1468,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01468/ids/edr/browse/ncam/NLG_1468_0797250378_772ECM_N0710160NCAM00500_00_2I4J01_1200.jpg,2025-04-06,8,Perseverance,2021-02-18,2020-07-30,active
1310416,1468,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01468/ids/edr/browse/ncam/NLG_1468_0797250274_863ECM_N0710160NCAM00500_00_2I4J01_1200.jpg,2025-04-06,8,Perseverance,2021-02-18,2020-07-30,active
1310417,1468,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01468/ids/edr/browse/ncam/NLG_1468_0797250317_909ECM_N0710160NCAM00500_00_2I4J01_1200.jpg,2025-04-06,8,Perseverance,2021-02-18,2020-07-30,active
1310418,1468,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01468/ids/edr/browse/ncam/NLG_1468_0797250309_743ECM_N0710160NCAM00500_00_2I4J01_1200.jpg,2025-04-06,8,Perseverance,2021-02-18,2020-07-30,active
1310419,1468,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01468/ids/edr/browse/ncam/NLG_1468_0797250278_926ECM_N0710160NCAM00500_00_2I4J01_1200.jpg,2025-04-06,8,Perseverance,2021-02-18,2020-07-30,active
1310420,1468,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01468/ids/edr/browse/ncam/NLG_1468_0797250418_895ECM_N0710160NCAM00500_00_2I4J01_1200.jpg,2025-04-06,8,Perseverance,2021-02-18,2020-07-30,active
1310421,1468,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01468/ids/edr/browse/ncam/NLG_1468_0797250386_987ECM_N0710160NCAM00500_00_2I4J01_1200.jpg,2025-04-06,8,Perseverance,2021-02-18,2020-07-30,active
