photo_id,sol,camera_id,camera_name,camera_full_name,img_src,earth_date,rover_id,rover_name,rover_landing_date,rover_launch_date,rover_status
1313013,1478,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01478/ids/edr/browse/ncam/NLF_1478_0798138365_819EBY_N0720542SCAM01478_00_0LLJ01_1200.jpg,2025-04-16,8,Perseverance,2021-02-18,2020-07-30,active
1313014,1478,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01478/ids/edr/browse/ncam/NLG_1478_0798153682_659ECM_N0730000NCAM00529_00_2I4J01_1200.jpg,2025-04-16,8,Perseverance,2021-02-18,2020-07-30,active
1313015,1478,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01478/ids/edr/browse/ncam/NLG_1478_0798153686_737ECM_N0730000NCAM00529_00_2I4J01_1200.jpg,2025-04-16,8,Perseverance,2021-02-18,2020-07-30,active
1313016,1478,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01478/ids/edr/browse/ncam/NLG_1478_0798153699_675ECM_N0730000NCAM00529_00_2I4J01_1200.jpg,2025-04-16,8,Perseverance,2021-02-18,2020-07-30,active
1313017,1478,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01478/ids/edr/browse/ncam/NLG_1478_0798153703_691ECM_N0730000NCAM00529_00_2I4J01_1200.jpg,2025-04-16,8,Perseverance,2021-02-18,2020-07-30,active
1313018,1478,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01478/ids/edr/browse/ncam/NLG_1478_0798153711_816ECM_N0730000NCAM00529_00_2I4J01_1200.jpg,2025-04-16,8,Perseverance,2021-02-18,2020-07-30,active
1313019,1478,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01478/ids/edr/browse/ncam/NLG_1478_0798153716_645ECM_N0730000NCAM00529_00_2I4J01_1200.jpg,2025-04-16,8,Perseverance,2021-02-18,2020-07-30,active
1313020,1478,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01478/ids/edr/browse/ncam/NLG_1478_0798153720_645ECM_N0730000NCAM00529_00_2I4J01_1200.jpg,2025-04-16,8,Perseverance,2021-02-18,2020-07-30,active
1313021,1478,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01478/ids/edr/browse/ncam/NLG_1478_0798153728_737ECM_N0730000NCAM00529_00_2I4J01_1200.jpg,2025-04-16,8,Perseverance,2021-02-18,2020-07-30,active
1313022,1478,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01478/ids/edr/browse/ncam/NLG_1478_0798153732_755ECM_N0730000NCAM00529_00_2I4J01_1200.jpg,2025-04-16,8,Perseverance,2021-02-18,2020-07-30,active
