photo_id,sol,camera_id,camera_name,camera_full_name,img_src,earth_date,rover_id,rover_name,rover_landing_date,rover_launch_date,rover_status
1314224,1484,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01484/ids/edr/browse/ncam/NLG_1484_0798675916_755ECM_N0730000NCAM00500_00_2I4J01_1200.jpg,2025-04-22,8,Perseverance,2021-02-18,2020-07-30,active
1314225,1484,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01484/ids/edr/browse/ncam/NLG_1484_0798676034_381ECM_N0730000NCAM00500_00_2I4J01_1200.jpg,2025-04-22,8,Perseverance,2021-02-18,2020-07-30,active
1314226,1484,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01484/ids/edr/browse/ncam/NLG_1484_0798676038_723ECM_N0730000NCAM00500_00_2I4J01_1200.jpg,2025-04-22,8,Perseverance,2021-02-18,2020-07-30,active
1314227,1484,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01484/ids/edr/browse/ncam/NLG_1484_0798676077_847ECM_N0730000NCAM00500_00_2I4J01_1200.jpg,2025-04-22,8,Perseverance,2021-02-18,2020-07-30,active
1314238,1484,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01484/ids/edr/browse/ncam/NLF_1484_0798675482_746ECM_N0730000NCAM00501_01_295J01_1200.jpg,2025-04-22,8,Perseverance,2021-02-18,2020-07-30,active
1314239,1484,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01484/ids/edr/browse/ncam/NLF_1484_0798675608_659ECM_N0730000NCAM00501_01_295J01_1200.jpg,2025-04-22,8,Perseverance,2021-02-18,2020-07-30,active
1314240,1484,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01484/ids/edr/browse/ncam/NLG_1484_0798675873_737ECM_N0730000NCAM00500_00_2I4J01_1200.jpg,2025-04-22,8,Perseverance,2021-02-18,2020-07-30,active
1314241,1484,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01484/ids/edr/browse/ncam/NLG_1484_0798675877_755ECM_N0730000NCAM00500_00_2I4J01_1200.jpg,2025-04-22,8,Perseverance,2021-02-18,2020-07-30,active
1314242,1484,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01484/ids/edr/browse/ncam/NLG_1484_0798675908_011ECM_N0730000NCAM00500_00_2I4J01_1200.jpg,2025-04-22,8,Perseverance,2021-02-18,2020-07-30,active
1314243,1484,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01484/ids/edr/browse/ncam/NLG_1484_0798675912_737ECM_N0730000NCAM00500_00_2I4J01_1200.jpg,2025-04-22,8,Perseverance,2021-02-18,2020-07-30,active
