photo_id,sol,camera_id,camera_name,camera_full_name,img_src,earth_date,rover_id,rover_name,rover_landing_date,rover_launch_date,rover_status
1310244,1467,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01467/ids/edr/browse/ncam/NLF_1467_0797170546_365EBY_N0710160NCAM00216_01_0LLJ01_1200.jpg,2025-04-05,8,Perseverance,2021-02-18,2020-07-30,active
1310245,1467,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01467/ids/edr/browse/ncam/NLF_1467_0797170468_380EBY_N0710160NCAM00216_01_0LLJ01_1200.jpg,2025-04-05,8,Perseverance,2021-02-18,2020-07-30,active
1310246,1467,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01467/ids/edr/browse/ncam/NLF_1467_0797170377_362EBY_N0710160NCAM00216_01_0LLJ01_1200.jpg,2025-04-05,8,Perseverance,2021-02-18,2020-07-30,active
1310247,1467,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01467/ids/edr/browse/ncam/NLG_1467_0797169122_816ECM_N0710160NCAM00518_00_2I3J01_1200.jpg,2025-04-05,8,Perseverance,2021-02-18,2020-07-30,active
1310248,1467,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01467/ids/edr/browse/ncam/NLG_1467_0797168776_784ECM_N0710160NCAM00527_00_2I4J01_1200.jpg,2025-04-05,8,Perseverance,2021-02-18,2020-07-30,active
1310249,1467,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01467/ids/edr/browse/ncam/NLG_1467_0797168792_847ECM_N0710160NCAM00527_00_2I4J01_1200.jpg,2025-04-05,8,Perseverance,2021-02-18,2020-07-30,active
1310250,1467,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01467/ids/edr/browse/ncam/NLG_1467_0797168814_784ECM_N0710160NCAM00527_00_2I4J01_1200.jpg,2025-04-05,8,Perseverance,2021-02-18,2020-07-30,active
1310251,1467,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01467/ids/edr/browse/ncam/NLG_1467_0797168998_132ECM_N0710160NCAM00518_00_2I3J01_1200.jpg,2025-04-05,8,Perseverance,2021-02-18,2020-07-30,active
1310252,1467,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01467/ids/edr/browse/ncam/NLG_1467_0797169172_886ECM_N0710160NCAM00518_00_2I3J01_1200.jpg,2025-04-05,8,Perseverance,2021-02-18,2020-07-30,active
1310253,1467,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01467/ids/edr/browse/ncam/NLG_1467_0797169147_847ECM_N0710160NCAM00518_00_2I3J01_1200.jpg,2025-04-05,8,Perseverance,2021-02-18,2020-07-30,active
